me: 1153.2s (0.65s/upd)
Upd 1955/5000 | Tot Ep: 312 | Avg Rwd:  237.2 | Avg Pellets:  77.1 (34.5%) | Max Pellets: 137 (76.1%) | Loss (P/V): 0.0002/2.7957 | Time: 1247.6s (0.94s/upd)
Upd 1960/5000 | Tot Ep: 313 | Avg Rwd:  240.1 | Avg Pellets:  77.5 (36.0%) | Max Pellets: 137 (76.1%) | Loss (P/V): -0.0000/0.5245 | Time: 1251.3s (0.65s/upd)
Upd 1965/5000 | Tot Ep: 314 | Avg Rwd:  237.1 | Avg Pellets:  77.5 (33.2%) | Max Pellets: 137 (54.5%) | Loss (P/V): 0.0001/1.8957 | Time: 1254.8s (0.68s/upd)
Upd 1970/5000 | Tot Ep: 315 | Avg Rwd:  231.1 | Avg Pellets:  76.7 (33.2%) | Max Pellets: 137 (54.5%) | Loss (P/V): 0.0002/3.2458 | Time: 1258.4s (0.70s/upd)
Upd 1975/5000 | Tot Ep: 316 | Avg Rwd:  250.7 | Avg Pellets:  79.8 (33.2%) | Max Pellets: 137 (54.5%) | Loss (P/V): 0.0003/2.6399 | Time: 1262.2s (0.82s/upd)
Upd 1980/5000 | Tot Ep: 316 | Avg Rwd:  250.7 | Avg Pellets:  79.8 (33.2%) | Max Pellets: 137 (54.5%) | Loss (P/V): 0.0000/1.1618 | Time: 1265.7s (0.68s/upd)
Upd 1985/5000 | Tot Ep: 317 | Avg Rwd:  222.3 | Avg Pellets:  75.8 (32.1%) | Max Pellets: 134 (54.5%) | Loss (P/V): 0.0002/5.3931 | Time: 1269.3s (0.82s/upd)
Upd 1990/5000 | Tot Ep: 318 | Avg Rwd:  243.5 | Avg Pellets:  78.8 (33.0%) | Max Pellets: 134 (54.5%) | Loss (P/V): -0.0000/1.9297 | Time: 1271.6s (0.42s/upd)
Upd 1995/5000 | Tot Ep: 319 | Avg Rwd:  252.4 | Avg Pellets:  80.0 (34.9%) | Max Pellets: 134 (58.0%) | Loss (P/V): 0.0005/0.9186 | Time: 1273.7s (0.43s/upd)
Upd 2000/5000 | Tot Ep: 320 | Avg Rwd:  263.4 | Avg Pellets:  81.5 (36.0%) | Max Pellets: 134 (58.0%) | Loss (P/V): -0.0002/0.4295 | Time: 1275.9s (0.43s/upd)
Upd 2005/5000 | Tot Ep: 320 | Avg Rwd:  263.4 | Avg Pellets:  81.5 (36.0%) | Max Pellets: 134 (58.0%) | Loss (P/V): 0.0001/0.8567 | Time: 1278.7s (0.58s/upd)
Upd 2010/5000 | Tot Ep: 321 | Avg Rwd:  266.9 | Avg Pellets:  82.2 (36.1%) | Max Pellets: 134 (58.0%) | Loss (P/V): 0.0003/8.0678 | Time: 1282.1s (0.72s/upd)
Upd 2015/5000 | Tot Ep: 322 | Avg Rwd:  286.1 | Avg Pellets:  85.0 (36.1%) | Max Pellets: 134 (58.0%) | Loss (P/V): 0.0004/1.6983 | Time: 1285.4s (0.63s/upd)
Upd 2020/5000 | Tot Ep: 323 | Avg Rwd:  273.4 | Avg Pellets:  83.2 (34.2%) | Max Pellets: 134 (58.0%) | Loss (P/V): 0.0001/7.8164 | Time: 1288.8s (0.70s/upd)
Upd 2025/5000 | Tot Ep: 324 | Avg Rwd:  279.4 | Avg Pellets:  84.0 (34.4%) | Max Pellets: 134 (58.0%) | Loss (P/V): -0.0001/0.2194 | Time: 1292.3s (0.71s/upd)
Upd 2030/5000 | Tot Ep: 324 | Avg Rwd:  279.4 | Avg Pellets:  84.0 (34.4%) | Max Pellets: 134 (58.0%) | Loss (P/V): -0.0001/0.7162 | Time: 1295.9s (0.68s/upd)
Upd 2035/5000 | Tot Ep: 325 | Avg Rwd:  303.0 | Avg Pellets:  87.4 (35.1%) | Max Pellets: 134 (58.0%) | Loss (P/V): 0.0005/2.7330 | Time: 1299.3s (0.69s/upd)
Upd 2040/5000 | Tot Ep: 326 | Avg Rwd:  304.6 | Avg Pellets:  88.0 (34.7%) | Max Pellets: 134 (58.0%) | Loss (P/V): 0.0002/3.1892 | Time: 1302.7s (0.66s/upd)
Upd 2045/5000 | Tot Ep: 327 | Avg Rwd:  313.6 | Avg Pellets:  89.2 (35.5%) | Max Pellets: 134 (58.0%) | Loss (P/V): 0.0010/2.7854 | Time: 1306.0s (0.67s/upd)
