pygame 2.6.1 (SDL 2.28.4, Python 3.10.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
Loading and validating dataset: AI_arena/data/PACMAN_IMITATION_DATA.jsonl
Loaded 150000 samples from 3636 episodes
Supervised Pac-Man training on cpu: 128722 train / 21278 validation
Press Ctrl+C to stop safely and save the current training state.
Epoch 001 | batch 0870/2012 | loss=0.81871 | acc=57.62%
Epoch 001 | batch 0880/2012 | loss=0.81795 | acc=57.70%
Epoch 001 | batch 0890/2012 | loss=0.81741 | acc=57.74%
Epoch 001 | batch 0900/2012 | loss=0.81654 | acc=57.80%
Epoch 001 | batch 0910/2012 | loss=0.81605 | acc=57.82%
Epoch 001 | batch 0920/2012 | loss=0.81490 | acc=57.90%
Epoch 001 | batch 0930/2012 | loss=0.81391 | acc=57.99%
Epoch 001 | batch 0940/2012 | loss=0.81324 | acc=58.03%
Epoch 001 | batch 0950/2012 | loss=0.81255 | acc=58.10%
Epoch 001 | batch 0960/2012 | loss=0.81176 | acc=58.19%
Epoch 001 | batch 0970/2012 | loss=0.81095 | acc=58.25%
Epoch 001 | batch 0980/2012 | loss=0.81037 | acc=58.29%
Epoch 001 | batch 0990/2012 | loss=0.80957 | acc=58.36%
Epoch 001 | batch 1000/2012 | loss=0.80865 | acc=58.44%
Epoch 001 | batch 1010/2012 | loss=0.80818 | acc=58.48%
Epoch 001 | batch 1020/2012 | loss=0.80734 | acc=58.57%
Epoch 001 | batch 1030/2012 | loss=0.80655 | acc=58.63%
Epoch 001 | batch 1040/2012 | loss=0.80589 | acc=58.69%
Epoch 001 | batch 1050/2012 | loss=0.80543 | acc=58.72%
Epoch 001 | batch 1060/2012 | loss=0.80513 | acc=58.73%
Epoch 001 | batch 1070/2012 | loss=0.80469 | acc=58.75%
Epoch 001 | batch 1080/2012 | loss=0.80407 | acc=58.80%
Epoch 001 | batch 1090/2012 | loss=0.80372 | acc=58.85%
Epoch 001 | batch 1100/2012 | loss=0.80308 | acc=58.91%
Epoch 001 | batch 1110/2012 | loss=0.80219 | acc=58.98%
Epoch 001 | batch 1120/2012 | loss=0.80143 | acc=59.05%
Epoch 001 | batch 1130/2012 | loss=0.80099 | acc=59.10%
Epoch 001 | batch 1140/2012 | loss=0.80046 | acc=59.13%
Epoch 001 | batch 1150/2012 | loss=0.80000 | acc=59.19%
Epoch 001 | batch 1160/2012 | loss=0.79980 | acc=59.20%
Epoch 001 | batch 1170/2012 | loss=0.79921 | acc=59.24%
Epoch 001 | batch 1180/2012 | loss=0.79858 | acc=59.32%
Epoch 001 | batch 1190/2012 | loss=0.79789 | acc=59.38%
Epoch 001 | batch 1200/2012 | loss=0.79757 | acc=59.43%
Epoch 001 | batch 1210/2012 | loss=0.79675 | acc=59.50%
Epoch 001 | batch 1220/2012 | loss=0.79644 | acc=59.52%
Epoch 001 | batch 1230/2012 | loss=0.79588 | acc=59.57%
Epoch 001 | batch 1240/2012 | loss=0.79560 | acc=59.59%
Epoch 001 | batch 1250/2012 | loss=0.79509 | acc=59.63%
Epoch 001 | batch 1260/2012 | loss=0.79482 | acc=59.67%
Epoch 001 | batch 1270/2012 | loss=0.79441 | acc=59.71%
Epoch 001 | batch 1280/2012 | loss=0.79407 | acc=59.74%
Epoch 001 | batch 1290/2012 | loss=0.79360 | acc=59.79%
Epoch 001 | batch 1300/2012 | loss=0.79344 | acc=59.80%
Epoch 001 | batch 1310/2012 | loss=0.79292 | acc=59.82%
Epoch 001 | batch 1320/2012 | loss=0.79252 | acc=59.86%
Epoch 001 | batch 1330/2012 | loss=0.79229 | acc=59.86%
Epoch 001 | batch 1340/2012 | loss=0.79192 | acc=59.89%
Epoch 001 | batch 1350/2012 | loss=0.79168 | acc=59.91%
Epoch 001 | batch 1360/2012 | loss=0.79130 | acc=59.92%
Epoch 001 | batch 1370/2012 | loss=0.79109 | acc=59.93%
Epoch 001 | batch 1380/2012 | loss=0.79077 | acc=59.98%
Epoch 001 | batch 1390/2012 | loss=0.79027 | acc=60.01%
Epoch 001 | batch 1400/2012 | loss=0.79029 | acc=60.01%
Epoch 001 | batch 1410/2012 | loss=0.78998 | acc=60.02%
Epoch 001 | batch 1420/2012 | loss=0.78967 | acc=60.04%
Epoch 001 | batch 1430/2012 | loss=0.78933 | acc=60.07%
Epoch 001 | batch 1440/2012 | loss=0.78897 | acc=60.10%
Epoch 001 | batch 1450/2012 | loss=0.78859 | acc=60.13%
Epoch 001 | batch 1460/2012 | loss=0.78812 | acc=60.17%
Epoch 001 | batch 1470/2012 | loss=0.78784 | acc=60.19%
Epoch 001 | batch 1480/2012 | loss=0.78754 | acc=60.21%
Epoch 001 | batch 1490/2012 | loss=0.78710 | acc=60.23%
Epoch 001 | batch 1500/2012 | loss=0.78658 | acc=60.27%
Epoch 001 | batch 1510/2012 | loss=0.78626 | acc=60.29%
Epoch 001 | batch 1520/2012 | loss=0.78595 | acc=60.31%
Epoch 001 | batch 1530/2012 | loss=0.78550 | acc=60.34%
Epoch 001 | batch 1540/2012 | loss=0.78497 | acc=60.38%
Epoch 001 | batch 1550/2012 | loss=0.78424 | acc=60.44%
Epoch 001 | batch 1560/2012 | loss=0.78380 | acc=60.46%
Epoch 001 | batch 1570/2012 | loss=0.78335 | acc=60.49%
Epoch 001 | batch 1580/2012 | loss=0.78300 | acc=60.51%
Epoch 001 | batch 1590/2012 | loss=0.78277 | acc=60.53%
