======================================================================
Training session started at 2026-09-05T19:15:05.207679
======================================================================
Loaded adversarial player checkpoint.
Loaded adversarial ghost checkpoint.
============================================================
Asymmetric Adv PPO | WU: 0 | Ratio: 5:1
U 0030 [GHOST TURN] | Ep 0059 | P_Rew: -239.2 | G_Rew:  163.0 | Win%:  57.3% | Die%:  98.0% | Loss(P/V): -0.002/12.505 | Ent: 1.378 | Time: 2729.0s
U 0031 [PLAYER TURN] | Ep 0062 | P_Rew:   41.1 | G_Rew:   24.3 | Win%:  54.7% | Die%: 100.0% | Loss(P/V): 0.003/24.479 | Ent: 0.337 | Time: 2818.6s
U 0032 [GHOST TURN] | Ep 0064 | P_Rew:   94.8 | G_Rew:   -2.4 | Win%:  54.5% | Die%: 100.0% | Loss(P/V): -0.007/11.332 | Ent: 1.374 | Time: 2908.1s
U 0033 [GHOST TURN] | Ep 0064 | P_Rew:   94.8 | G_Rew:   -2.4 | Win%:  54.5% | Die%: 100.0% | Loss(P/V): -0.007/11.028 | Ent: 1.378 | Time: 2998.6s
U 0034 [GHOST TURN] | Ep 0064 | P_Rew:   94.8 | G_Rew:   -2.4 | Win%:  54.5% | Die%: 100.0% | Loss(P/V): -0.001/8.104 | Ent: 1.380 | Time: 3091.5s
U 0035 [GHOST TURN] | Ep 0066 | P_Rew:  -87.8 | G_Rew:   88.5 | Win%:  56.5% | Die%: 100.0% | Loss(P/V): -0.006/11.868 | Ent: 1.372 | Time: 3177.7s
U 0036 [GHOST TURN] | Ep 0066 | P_Rew:  -87.8 | G_Rew:   88.5 | Win%:  56.5% | Die%: 100.0% | Loss(P/V): -0.001/13.673 | Ent: 1.377 | Time: 3268.4s
U 0037 [PLAYER TURN] | Ep 0067 | P_Rew: -166.1 | G_Rew:  127.4 | Win%:  56.9% | Die%: 100.0% | Loss(P/V): 0.005/19.556 | Ent: 0.421 | Time: 3360.8s
U 0038 [GHOST TURN] | Ep 0070 | P_Rew:  -27.8 | G_Rew:   58.3 | Win%:  55.8% | Die%: 100.0% | Loss(P/V): -0.007/11.255 | Ent: 1.372 | Time: 3456.1s
U 0039 [GHOST TURN] | Ep 0070 | P_Rew:  -27.8 | G_Rew:   58.3 | Win%:  55.8% | Die%: 100.0% | Loss(P/V): -0.004/11.741 | Ent: 1.376 | Time: 3543.8s
