pygame 2.6.1 (SDL 2.28.4, Python 3.10.12)
Hello from the pygame community. https://www.pygame.org/contribute.html
Loading and validating dataset: AI_arena/data/PACMAN_IMITATION_DATA.jsonl
Loaded 150000 samples from 3636 episodes
Resumed supervised training from epoch 55 (reset early-stopping counter from 3)
Supervised Pac-Man training on cpu: 128722 train / 21278 validation
Press Ctrl+C to stop safely and save the current training state.
Epoch 056 | batch 0860/2012 | loss=0.17776 | acc=93.08%
Epoch 056 | batch 0870/2012 | loss=0.17854 | acc=93.04%
Epoch 056 | batch 0880/2012 | loss=0.17870 | acc=93.03%
Epoch 056 | batch 0890/2012 | loss=0.17887 | acc=93.03%
Epoch 056 | batch 0900/2012 | loss=0.17875 | acc=93.03%
Epoch 056 | batch 0910/2012 | loss=0.17913 | acc=93.02%
Epoch 056 | batch 0920/2012 | loss=0.17907 | acc=93.02%
Epoch 056 | batch 0930/2012 | loss=0.17900 | acc=93.03%
Epoch 056 | batch 0940/2012 | loss=0.17913 | acc=93.02%
Epoch 056 | batch 0950/2012 | loss=0.17881 | acc=93.05%
Epoch 056 | batch 0960/2012 | loss=0.17898 | acc=93.05%
Epoch 056 | batch 0970/2012 | loss=0.17902 | acc=93.06%
Epoch 056 | batch 0980/2012 | loss=0.17935 | acc=93.05%
Epoch 056 | batch 0990/2012 | loss=0.17946 | acc=93.04%
Epoch 056 | batch 1000/2012 | loss=0.17976 | acc=93.03%
Epoch 056 | batch 1010/2012 | loss=0.17995 | acc=93.02%
Epoch 056 | batch 1020/2012 | loss=0.18047 | acc=92.99%
Epoch 056 | batch 1030/2012 | loss=0.18060 | acc=92.99%
Epoch 056 | batch 1040/2012 | loss=0.18090 | acc=92.97%
Epoch 056 | batch 1050/2012 | loss=0.18063 | acc=92.99%
Epoch 056 | batch 1060/2012 | loss=0.18075 | acc=92.99%
Epoch 056 | batch 1070/2012 | loss=0.18096 | acc=92.98%
Epoch 056 | batch 1080/2012 | loss=0.18072 | acc=92.99%
Epoch 056 | batch 1090/2012 | loss=0.18113 | acc=92.97%
Epoch 056 | batch 1100/2012 | loss=0.18111 | acc=92.97%
Epoch 056 | batch 1110/2012 | loss=0.18148 | acc=92.95%
Epoch 056 | batch 1120/2012 | loss=0.18150 | acc=92.95%
Epoch 056 | batch 1130/2012 | loss=0.18141 | acc=92.95%
Epoch 056 | batch 1140/2012 | loss=0.18149 | acc=92.95%
Epoch 056 | batch 1150/2012 | loss=0.18194 | acc=92.93%
Epoch 056 | batch 1160/2012 | loss=0.18216 | acc=92.91%
Epoch 056 | batch 1170/2012 | loss=0.18262 | acc=92.89%
Epoch 056 | batch 1180/2012 | loss=0.18259 | acc=92.89%
Epoch 056 | batch 1190/2012 | loss=0.18266 | acc=92.88%
Epoch 056 | batch 1200/2012 | loss=0.18291 | acc=92.88%
Epoch 056 | batch 1210/2012 | loss=0.18264 | acc=92.88%
Epoch 056 | batch 1220/2012 | loss=0.18292 | acc=92.87%
Epoch 056 | batch 1230/2012 | loss=0.18288 | acc=92.87%
Epoch 056 | batch 1240/2012 | loss=0.18285 | acc=92.87%
Epoch 056 | batch 1250/2012 | loss=0.18306 | acc=92.85%
Epoch 056 | batch 1260/2012 | loss=0.18365 | acc=92.83%
Epoch 056 | batch 1270/2012 | loss=0.18363 | acc=92.83%
Epoch 056 | batch 1280/2012 | loss=0.18412 | acc=92.82%
Epoch 056 | batch 1290/2012 | loss=0.18438 | acc=92.80%
Epoch 056 | batch 1300/2012 | loss=0.18473 | acc=92.79%
Epoch 056 | batch 1310/2012 | loss=0.18461 | acc=92.80%
Epoch 056 | batch 1320/2012 | loss=0.18462 | acc=92.80%
Epoch 056 | batch 1330/2012 | loss=0.18492 | acc=92.80%
Epoch 056 | batch 1340/2012 | loss=0.18508 | acc=92.79%
Epoch 056 | batch 1350/2012 | loss=0.18516 | acc=92.80%
Epoch 056 | batch 1360/2012 | loss=0.18519 | acc=92.79%
Epoch 056 | batch 1370/2012 | loss=0.18527 | acc=92.79%
Epoch 056 | batch 1380/2012 | loss=0.18512 | acc=92.79%
Epoch 056 | batch 1390/2012 | loss=0.18511 | acc=92.80%
Epoch 056 | batch 1400/2012 | loss=0.18517 | acc=92.80%
Epoch 056 | batch 1410/2012 | loss=0.18542 | acc=92.79%
Epoch 056 | batch 1420/2012 | loss=0.18536 | acc=92.80%
Epoch 056 | batch 1430/2012 | loss=0.18546 | acc=92.79%
Epoch 056 | batch 1440/2012 | loss=0.18593 | acc=92.77%
Epoch 056 | batch 1450/2012 | loss=0.18633 | acc=92.75%
Epoch 056 | batch 1460/2012 | loss=0.18656 | acc=92.73%
Epoch 056 | batch 1470/2012 | loss=0.18661 | acc=92.73%
Epoch 056 | batch 1480/2012 | loss=0.18669 | acc=92.73%
Epoch 056 | batch 1490/2012 | loss=0.18675 | acc=92.73%
Epoch 056 | batch 1500/2012 | loss=0.18700 | acc=92.72%
Epoch 056 | batch 1510/2012 | loss=0.18717 | acc=92.70%
Epoch 056 | batch 1520/2012 | loss=0.18711 | acc=92.71%
Epoch 056 | batch 1530/2012 | loss=0.18733 | acc=92.70%
Epoch 056 | batch 1540/2012 | loss=0.18739 | acc=92.69%
Epoch 056 | batch 1550/2012 | loss=0.18736 | acc=92.70%
Epoch 056 | batch 1560/2012 | loss=0.18747 | acc=92.69%
Epoch 056 | batch 1570/2012 | loss=0.18734 | acc=92.70%
Epoch 056 | batch 1580/2012 | loss=0.18733 | acc=92.69%
Epoch 056 | batch 1590/2012 | loss=0.18750 | acc=92.68%
Epoch 056 | batch 1600/2012 | loss=0.18759 | acc=92.68%
Epoch 056 | batch 1610/2012 | loss=0.18775 | acc=92.68%
Epoch 056 | batch 1620/2012 | loss=0.18767 | acc=92.68%
Epoch 056 | batch 1630/2012 | loss=0.18766 | acc=92.67%
Epoch 056 | batch 1640/2012 | loss=0.18769 | acc=92.68%
Epoch 056 | batch 1650/2012 | loss=0.18782 | acc=92.66%
Epoch 056 | batch 1660/2012 | loss=0.18797 | acc=92.66%
Epoch 056 | batch 1670/2012 | loss=0.18801 | acc=92.66%
Epoch 056 | batch 1680/2012 | loss=0.18809 | acc=92.66%
Epoch 056 | batch 1690/2012 | loss=0.18810 | acc=92.65%
Epoch 056 | batch 1700/2012 | loss=0.18814 | acc=92.65%
Epoch 056 | batch 1710/2012 | loss=0.18808 | acc=92.65%
Epoch 056 | batch 1720/2012 | loss=0.18819 | acc=92.65%
Epoch 056 | batch 1730/2012 | loss=0.18839 | acc=92.64%
Epoch 056 | batch 1740/2012 | loss=0.18858 | acc=92.63%
Epoch 056 | batch 1750/2012 | loss=0.18870 | acc=92.62%
Epoch 056 | batch 1760/2012 | loss=0.18871 | acc=92.62%
Epoch 056 | batch 1770/2012 | loss=0.18878 | acc=92.62%
Epoch 056 | batch 1780/2012 | loss=0.18906 | acc=92.61%
Epoch 056 | batch 1790/2012 | loss=0.18917 | acc=92.61%
Epoch 056 | batch 1800/2012 | loss=0.18921 | acc=92.61%
Epoch 056 | batch 1810/2012 | loss=0.18927 | acc=92.61%
Epoch 056 | batch 1820/2012 | loss=0.18929 | acc=92.61%
Epoch 056 | batch 1830/2012 | loss=0.18934 | acc=92.61%
Epoch 056 | batch 1840/2012 | loss=0.18959 | acc=92.60%
Epoch 056 | batch 1850/2012 | loss=0.18964 | acc=92.60%
Epoch 056 | batch 1860/2012 | loss=0.18980 | acc=92.59%
Epoch 056 | batch 1870/2012 | loss=0.18992 | acc=92.59%
Epoch 056 | batch 1880/2012 | loss=0.19012 | acc=92.58%
Epoch 056 | batch 1890/2012 | loss=0.19050 | acc=92.56%
Epoch 056 | batch 1900/2012 | loss=0.19068 | acc=92.55%
Epoch 056 | batch 1910/2012 | loss=0.19067 | acc=92.55%
Epoch 056 | batch 1920/2012 | loss=0.19069 | acc=92.56%
Epoch 056 | batch 1930/2012 | loss=0.19101 | acc=92.54%
Epoch 056 | batch 1940/2012 | loss=0.19119 | acc=92.54%
Epoch 056 | batch 1950/2012 | loss=0.19116 | acc=92.54%
Epoch 056 | batch 1960/2012 | loss=0.19117 | acc=92.53%
Epoch 056 | batch 1970/2012 | loss=0.19115 | acc=92.53%
Epoch 056 | batch 1980/2012 | loss=0.19110 | acc=92.53%
Epoch 056 | batch 1990/2012 | loss=0.19113 | acc=92.53%
Epoch 056 | batch 2000/2012 | loss=0.19133 | acc=92.52%
